2392,"visor","面甲","護面"
2393,"cowl","蒙頭斗蓬","風帽"
2394,"hide","隱藏","毛皮"
2395,"Pelt","投擲","獸皮"
2398,"wrap","包裹","裹護"
2399,"suit","衣","衣裝"
2406,"rock","石塊","之岩"
2407,"aegis","庇護","之禦"
2408,"ward","保護","守護"
2409,"tower","塔","之塔"
2410,"shield","盾護","之盾"
2411,"wing","翼","之翼"
2413,"emblem","象徵","紋章"
2415,"fist","拳","之拳"
2417,"clutches","手爪","之握"
2418,"grip","緊握","抓握"
2419,"grasp","抓取","之握"
2420,"hold","握","之握"
2421,"touch","觸碰","之觸"
2424,"shank","小腿","尖鑽"
2425,"spur","踢馬刺","驅刺"
2426,"tread","踏步","步履"
2427,"stalker","潛行者","潛獵者"
2428,"greave","油渣","護脛"
2429,"blazer","發光體","炎光"
2430,"nails","釘","尖釘"
2433,"track","追蹤","蹤跡"
2435,"clasp","扣鉤","之扣"
2437,"harness","挽具","裝束"
2438,"lock","鎖","鎖扣"
2440,"winding","捲燒","繞捲"
2441,"chain","鏈條","之鏈"
2443,"lash","抽打","鞭笞"
2444,"cord","捆綁","捆繩"
2445,"knot","結","之結"
2446,"circle","環","之環"
2447,"loop","圈","之圈"
2448,"eye","眼","之眼"
2449,"turn","轉","轉迴"
2453,"band","箍","之箍"
2454,"whorl","螺層","旋螺"
2456,"heart","心","之心"
2461,"torc","金絲項圈","頸飾"
2464,"wood","木","之木"
2465,"brand","品牌","烙印"
2467,"cudgel","木棒","鬥棍"
2468,"loom","織布機","隱現"
2470,"master","專家","主宰"
2471,"barRI","酒吧","柵欄"
2472,"hew","砍","劈斬"
2473,"crook","鉤","彎鉤"
2475,"shell","殼","殼甲"
2476,"stake","棍子","樁棍"
2477,"picket","尖木","尖樁"
2480,"Civerb's Vestments","希弗伯的法衣","克維雷布的法衣"
2481,"Hsarus' Trim","海沙魯的防禦","海沙魯的鐵禦"
2482,"Cleglaw's Brace","克雷得勞的支柱","克雷德勞的防備"
2483,"Iratha's Finery","依雷撒的精銑爐","依雷撒的華服"
2484,"Isenhart's Armory","依森哈德的武器室","依森哈特的軍械"
2486,"Milabrega's Regalia","米拉伯佳的雪茄","米拉伯佳戰裝"
2487,"Cathan's Traps","卡珊的陷阱","卡珊的衣著"
2488,"Tancred's Battlegear","坦克雷的戰鬥工具","坦克雷的戰裝"
2489,"Sigon's Complete Steel","西剛的全套刀劍","西剛的全套鋼甲"
2490,"Infernal Tools","地獄的工具","煉獄器具"
2491,"Berserker's Garb","狂戰士的軍火庫","狂戰士的武裝"
2493,"Angelical Raiment","天上的衣服","天使的衣裝"
2494,"Arctic Gear","北極裝置","北極裝備"
2495,"Arcanna's Tricks","卡阿娜的詭計","阿卡娜的詭計"
2512,"Ward","囚房","防護"
2513,"Iron Heel","鐵後腫","鐵跟"
2514,"Tooth","齒","之牙"
2516,"Lightbrand","光之烙印","光之烙鐵"
2518,"Orb","球體","之球"
2519,"Rule","法規","尺杖"
2520,"Crowbill","喙鉗","鴉嘴鎬"
2521,"Visor","面甲","護面"
2522,"Cranium","顱骨","頭骨"
2523,"Headgear","頭飾","頭盔"
2524,"Hand","手","之手"
2525,"Sickle","小鐮刀","鐮刀"
2526,"Horn","角","號角"
2527,"Sign","標示","符印"
2528,"Icon","圖示","聖像"
2531,"Cuff","掌擊","袖銬"
2532,"Parry","閃避","招架"
2533,"Fetlock","球節","足距"
2534,"Rod","棒","節杖"
2535,"Mesh","網織","網衣"
2536,"Spine","山脊","脊柱"
2537,"Shelter","庇護所","庇護"
2539,"Hauberk","連環甲","鎖子甲"
2540,"Guard","守護","護"
2544,"CudgelSI3S","棍棒","短棍"
2545,"Iron Stay","鋼鐵支索","鐵扣"
2546,"Pincers","鉗腳","之鉗"
2547,"Coil","線圈","盤頂"
2550,"Diadem","王位","權冠"
2551,"Visage","面貌","容貌"
2552,"Hobnails","平頭釘","釘靴"
2553,"Gage","挑戰物","挑戰"
2556,"Touch","接觸","觸"
2558,"Binding","束","捆索"
2560,"Horns","角","角盔"
2561,"Snare","陷阱","圈套"
2563,"Sigil","法印","魔咒"
2565,"Sabot","木鞋","硬靴"
2567,"Mitts","無指手套","手套"
2569,"Cord","細繩","腰繩"
2571,"SkullSI5S","頭骨","顱骨"
2572,"Wrap","包裹","裹腰"
2574,"The Gnasher","牙齒","噬咬者"
2577,"Mindrend","切開骷髏","劈顱斧"
2578,"Rakescar","火鉤之傷","耙痕"
2580,"Goreshovel","血塊之鏟","血鍬"
2581,"The Chieftan","族長","酋長"
2582,"Brainhew","腦袋","劈腦"
2583,"The Humongous","巨大無比","巨無霸"
2584,"Iros Torch","衣洛的火炬","伊洛的火炬"
2587,"Umes Lament","烏米的慟哭","梅花嘆"
2588,"Felloak","兇猛橡樹","魔橡樹"
2589,"Knell Striker","敲擊喪鐘者","喪鐘敲擊者"
2590,"Rusthandle","腐蝕的把手","鏽蝕把手"
2592,"Stoutnail","堅硬的指甲","特粗鐵釘"
2593,"Crushflange","壓碎的凸邊","碎擊釘錘"
2594,"Bloodrise","血昇","血升"
2595,"The Generals Tan Do Li Ga","坦-杜-裡-嘎將軍","將軍的連枷"
2598,"Steeldriver","鐵製大鎚","打鋼鎚"
2599,"Rixots Keen","瑞克撒特的輓歌","瑞克塞斯的利刃"
2601,"Krintizs Skewer","格林提斯的肉叉","克里維茲的肉叉"
2602,"Gleamscythe","閃耀的鐮刀","閃耀鐮刀"
2603,"Azurewrath","青色忿怒","碧藍怒火"
2604,"Griswolds Edge","格理斯瓦得的銳利","格里斯瓦德之刃"
2606,"Culwens Point","庫爾溫的尖端","庫爾溫的尖刃"
2607,"Shadowfang","影之牙","暗影之牙"
2608,"Soulflay","剝皮靈魂","剝魂"
2609,"Kinemils Awl","金麥爾的錐子","金麥爾的鑽錐"
2610,"Blacktongue","黑色之舌","黑舌"
2611,"Ripsaw","粗齒大鋸","齒鋸"
2612,"The Patriarch","族長","尊父"
2615,"The Jade Tan Do","坦杜之玉","玉匕"
2616,"Irices Shard","妖怪碎片","虹彩裂片"
2617,"The Dragon Chang","張龍","龍槍"
2618,"Razortine","剃刀之叉","剃刀叉"
2619,"Bloodthief","血之偷","血賊"
2621,"The Tannr Gorerod","坦之血杖","坦納血杖"
2622,"Dimoaks Hew","迪馬克之劈砍","迪馬克的砍刀"
2624,"Soul Harvest","靈魂採集者","靈魂收割者"
2625,"The Battlebranch","戰鬥支系","戰鬥枝椏"
2626,"Woestave","煩惱詩集","悲哀護杖"
2627,"The Grim Reaper","冷酷開膛手","猙獰奪魂者"
2630,"Lazarus Spire","拉撒羅斯之螺旋","拉撒雷茲之杖"
2632,"The Iron Jang Bong","鐵檢棒","鐵長棒"
2633,"Pluckeye","勇氣之眼","奪人目"
2634,"Witherstring","凋謝之戒","凋萎之弦"
2635,"Rimeraven","渡鳥之爪","掠鴉之爪"
2636,"Piercerib","蘿格之弓","俠盜之弓"
2638,"Wizendraw","凋謝之畫","凋謝弓弦"
2639,"Hellclap","作響的地獄","地獄轟鳴"
2640,"Blastbark","爆裂的吠叫","爆裂咆哮"
2641,"Leadcrow","引導烏鴉","鉛烏鴉"
2642,"Ichorsting","靈液之刺","膿毒之刺"
2643,"Hellcast","投擲地獄","地獄擲弩"
2644,"Doomspittle","毀滅投石者","毀滅投索"
2647,"Coif of Glory","光榮布帽","光榮罩盔"
2649,"Wormskull","溫暖骷髏","蠕蟲頭骨"
2653,"Greyform","薄暮外觀","灰暮之形"
2654,"Blinkbats Form","眨眼蝙蝠的外觀","閃蝠之軀"
2656,"Twitchthroe","抽動的掙扎","抽動掙扎"
2657,"Darkglow","擴散黑暗","暗光"
2659,"Sparking Mail","火花之甲","電光之甲"
2660,"Venomsward","毒液牢房","毒之守禦"
2661,"Iceblink","冰雪眨眼","冰晶"
2663,"Rockfleece","石之毛","石羊毛"
2664,"Rattlecage","作響之籠","震骨"
2665,"Goldskin","黃金之皮","黃金之膚"
2666,"Victors Silk","勝利者之絲綢","勝利者的絲綢"
2670,"Stormguild","暴風公會","風暴同盟"
2671,"Wall of the Eyeless","無眼之牆","無眼者之牆"
2672,"Swordback Hold","劍背之架","劍棘之盾"
2673,"Steelclash","作響的金屬","鋼鐵衝擊"
2674,"Bverrit Keep","貝弗提的紀念","布雷維特要塞"
2675,"The Ward","囚房","庇護結界"
2683,"Treads of Cthon","凱松的征服","凱松的足靴"
2684,"Goblin Toe","小妖精腳趾","哥布林腳趾"
2685,"Tearhaunch","淚之臀","裂臀"
2689,"Goldwrap","金色包袱","黃金裹腰"
2690,"Bladebuckle","鋒利扣帶","刀鋒扣帶"
2692,"The Eye of Etlich","艾利屈之眼","艾利曲之眼"
2695,"Manald Heal","瑪那得的治療","瑪那德的治療"
2696,"Gorgethroat","喉部頸甲","吞喉"
2699,"Horadric Staff","赫拉迪克法杖","赫拉迪姆之杖"
2700,"Hell Forge Hammer","地獄熔爐鐵鎚","地獄熔爐之鎚"
3263,"HorazonsJournal","赫拉森的日記","赫拉森的日誌"
3277,"jug","水罐","罐子"
3304,"Tome","赫拉森的日記","赫拉森的日誌"
10000,"Cutthroat1","巴特克的猛擊","霸圖克的割喉爪"
10022,"Hsarus' Defense","哈斯拉柏的防禦","海沙魯的鐵禦"
10122,"Civerb's Ward","希弗柏的防護","克維雷布的防護"
10123,"Civerb's Icon","希弗伯的圖案","克維雷布的聖像"
10124,"Civerb's Cudgel","希弗伯的短棍","克維雷布的短棍"
10125,"Hsarus' Iron Heel","哈斯拉柏的鐵後跟","海沙魯的鐵跟"
10126,"Hsarus' Iron Fist","哈斯拉柏的鐵拳","海沙魯的鐵拳"
10127,"Hsarus' Iron Stay","哈斯拉柏的鐵胸衣","海沙魯的鐵扣"
10128,"Cleglaw's Tooth","克雷得勞之牙","克雷德勞之牙"
10129,"Cleglaw's Claw","克雷得勞之爪","克雷德勞之爪"
10130,"Cleglaw's Pincers","克雷得勞之鉗","克雷德勞之鉗"
10131,"Iratha's Cord","依雷撒之繩","依雷撒的腰繩"
10132,"Iratha's Coil","依雷撒的線圈","依雷撒的盤頂"
10133,"Iratha's Cuff","依雷撒的袖口","依雷撒的袖銬"
10135,"Isenhart's Horns","依森哈德的號角","依森哈特的角盔"
10136,"Isenhart's Case","依森哈德的外殼","依森哈特的外殼"
10137,"Isenhart's Parry","依森哈德的閃避","依森哈特的招架"
10138,"Isenhart's Lightbrand","依森哈德的光之烙鐵","依森哈特的光之烙鐵"
10139,"Vidala's Snare","維達拉的陷阱","維達拉的圈套"
10141,"Vidala's Fetlock","維達拉的距毛","維達拉的足距"
10142,"Vidala's Barb","維達拉之倒刺","維達拉的倒刺"
10143,"Milabrega's Robe","米拉伯佳之袍","米拉伯佳外袍"
10144,"Milabrega's Diadem","米拉伯佳的王冠","米拉伯佳權冠"
10145,"Milabrega's Rod","米拉伯佳之杖","米拉伯佳節杖"
10150,"Cathan's Mesh","卡珊之網","卡珊的網衣"
10151,"Cathan's Rule","卡珊之尺","卡珊的尺杖"
10152,"Tancred's Crowbill","坦克雷的鴉嘴鉗","坦克雷的鴉嘴鎬"
10154,"Tancred's Hobnails","坦克雷的平頭釘","坦克雷的釘靴"
10156,"Tancred's Skull","坦克雷之骷髏","坦克雷的顱骨"
10157,"Sigon's Visor","西剛之面甲","西剛的護面"
10158,"Sigon's Shelter","西剛的遮蔽","西剛的庇護"
10160,"Sigon's Sabot","西剛的木鞋","西剛的硬靴"
10161,"Sigon's Wrap","西剛的披肩","西剛的裹腰"
10163,"Infernal Cranium","地獄頭骨","煉獄頭骨"
10164,"Infernal Torch","地獄火炬","煉獄火炬"
10165,"Infernal Sign","地獄符號","煉獄符印"
10166,"Berserker's Headgear","狂戰士的頭戴","狂戰士頭盔"
10167,"Berserker's Hauberk","狂戰士的鎖子甲","狂戰士鎖子甲"
10168,"Berserker's Hatchet","狂戰士的手斧","狂戰士手斧"
10170,"Death's Guard","死亡的守護","死亡之護"
10174,"Angelic Halo","天使之光","天使的光暈"
10175,"Angelic Wings","天使之翼","天使的翅膀"
10178,"Arctic Binding","北極捆縛","北極捆索"
10180,"Arcanna's Sign","阿卡娜的符號","阿卡娜的符印"
10911,"Whichwild String","狂野之弦","狂巫之弦"
11006,"neg","地獄爪牙之骨","地獄爪牙顱骨"
11008,"uhf","傳說之鎚","傳說戰鎚"
11010,"7wa","狂戰士斧","狂戰斧"
11012,"xhg","巨戰手套","征戰護手"
11028,"9bl","小劍","窄刃匕首"
11149,"dhn","暗黑破壞神之角","迪亞布羅之角"
11164,"tes","扭曲的苦痛精華","扭曲的苦怨精華"
20181,"ktr","拳劍","拳刃"
20183,"ces","腰刀","刃拳"
20186,"skr","剪咬刃","剪刃"
20193,"9qr","格鬥剪","格鬥剪刃"
20194,"7ar","近身刃","穿擊拳刃"
20196,"7xf","戰拳","征戰拳套"
20197,"7cs","鬥腰刀","戰鬥刃拳"
20198,"7lw","猛禽爪","蠻獸爪"
20200,"7qr","近身剪","穿擊剪刃"
20201,"7ha","戰鉞 ","輕斧"
20204,"7mp","戰刺","征戰鎬"
20206,"7la","猛禽斧","蠻野斧"
20210,"7gi","榮光之斧","榮光斧"
20211,"7wn","洗鍊法杖","拋光魔杖"
20212,"7yw","鬼魂法杖","鬼魂魔杖"
20213,"7bw","巫妖法杖","巫妖魔杖"
20214,"7gw","破隱法杖","埋骨魔杖"
20215,"7cl","戰儀杖","打擊棍"
20217,"7qs","熾天使法杖","熾天使節杖"
20218,"7ws","神使之杖","神使權杖"
20219,"7sp","暴君之棒","暴君棍棒"
20220,"7ma","強化釘頭錘","強化釘鎚"
20221,"7mt","惡魔流星錘","妖鬼釘頭鎚"
20222,"7fl","天罰之錘","罪罰連枷"
20223,"7wh","傳說之鎚","傳說戰鎚"
20224,"7m7","食人魔之錘","巨魔重鎚"
20225,"7gm","雷錘","雷霆重鎚"
20226,"7ss","短劍","法卡塔劍"
20227,"7sm","土耳其劍","土耳其彎刀"
20228,"7sb","優雅之劍","典雅彎刀"
20229,"7fc","九頭蛇刃","多頭蛇刃"
20232,"7ls","神秘之劍","絕秘劍"
20233,"7wd","秘儀之劍","秘儀劍"
20234,"72h","傳說之劍","傳說劍"
20235,"7cm","高地之劍","高地劍"
20237,"7b7","冠軍之劍","豪傑大劍"
20238,"7fb","巨神之劍","巨神劍"
20239,"7gd","巨神之刃","巨神刃"
20241,"7di","秘銀小刀","秘銀尖刀"
20242,"7kr","齒緣小刀","尖齒小刀"
20243,"7bl","傳說尖刺","傳說尖刀"
20244,"7tk","飛刀","高速飛刀"
20245,"7ta","飛斧","高速飛斧"
20246,"7bk","翼刀","刃翼飛刀"
20247,"7b8","翼斧","刃翼飛斧"
20248,"7ja","亥伯龍之槍","亥伯龍標槍"
20251,"7gl","鬼魂尖槍","鬼魂刃槍"
20252,"7ts","翼魚叉","飛翼魚叉"
20253,"7sr","亥伯龍之矛","亥伯龍矛"
20254,"7tr","冥河之槍","冥河戰矛"
20255,"7br","刺人槍","捕人叉"
20256,"7st","鬼魂之矛","鬼魂長矛"
20257,"7p7","戰槍","征戰長槍"
20258,"7o7","食人魔之斧","巨魔斧"
20259,"7vo","巨神之斧","巨神長柄斧"
20260,"7s8","銳利之斧","斬鐮"
20261,"7pa","神秘之斧","絕秘斧"
20262,"7h7","巨長斧","巨型長柄斧"
20263,"7wc","鮫尾巨斧","巨型斬鐮"
20265,"6ls","鐘乳石之杖","鐘乳石杖"
20266,"6cs","長老之杖","長者法杖"
20267,"6bs","樹皮之杖","節瘤木杖"
20268,"6ws","執政官之杖","統御者法杖"
20271,"6lb","陰影弓","暗影弓"
20274,"6l7","十字軍之弓","聖教軍長弓"
20275,"6sw","庇護之弓","庇護弓"
20276,"6lw","九頭蛇弓","多頭蛇弓"
20277,"6lx","彈丸弓","彈丸弩"
20278,"6mx","蛇魔女十字弓","蛇魔弩"
20279,"6hx","巨神十字弓","巨神弩"
20280,"6rx","惡魔十字弓","惡魔弩"
20287,"as3","拳刃","斬刃"
20292,"am1","男性之弓","獵鹿弓"
20293,"am2","反射之弓","反射弓"
20294,"am3","女士之矛","女戰長矛"
20295,"am4","女士長矛","女戰長槍"
20296,"am5","女士鏢槍","女戰標槍"
20302,"am6","灰木之弓","梣木弓"
20303,"am7","祭典之弓","儀禮弓"
20304,"am8","祭典之矛","儀禮長矛"
20305,"am9","祭典之長矛","儀禮長槍"
20306,"ama","祭典之鏢槍","儀禮標槍"
20308,"obc","怪異之球","異能法珠"
20309,"obd","惡魔之心","惡魔心石"
20310,"obe","漩渦球","漩渦法珠"
20311,"obf","次元碎片","次元法珠"
20312,"amb","女族長之弓","女傑之弓"
20313,"amc","大院長之弓","主母之弓"
20314,"amd","女族長之矛","女傑長矛"
20315,"ame","女族長之長矛","女傑長槍"
20316,"amf","女族長之鏢槍","女傑標槍"
20319,"dr3","鹿角","巨角獸帽"
20320,"dr1","狼頭","狼頭獸帽"
20321,"dr5","靈魂狼頭面具","靈狼面具"
20323,"ba2","尖牙盔","尖牙頭盔"
20324,"ba3","角盔","尖角頭盔"
20325,"ba4","突擊盔","突擊頭盔"
20326,"ba5","復仇者之盔","復仇者護盔"
20331,"pa5","皇冠之盾","冠冕之盾"
20332,"ne1","防腐之首","防腐頭顱"
20333,"ne2","僵屍之首","殭屍頭顱"
20334,"ne3","揭露者之首","解繃者頭顱"
20335,"ne4","石像鬼之首","石像鬼頭顱"
20336,"ne5","惡魔之首","惡魔頭顱"
20337,"ci0","頭飾","頭環"
20339,"ci2","三重冠","頭冠"
20342,"ukp","九頭蛇頭蓋骨圓帽","多頭蛇顱盔"
20343,"ulm","活動頭盔","覆頰盔"
20344,"uhl","巨貝頭盔","巨螺盔"
20345,"uhm","螺旋頭盔","巨角頭盔"
20346,"urn","頭冠","日冕之冠"
20347,"usk","惡魔頭蓋骨面具","惡魔頭骨"
20349,"uea","古龍皮","龍皮甲"
20351,"utu","線羊毛皮甲","鋼線毛皮甲"
20352,"ung","鑽石鎖子甲","鑽石鎖甲"
20353,"ucl","甲殼鎧鱗甲","綴鱗戰甲"
20354,"uhn","骸骨鏈甲","骸骨網甲"
20355,"urs","巨型鱗鎧胸甲","鱗鎧胸甲"
20358,"uld","海妖殼甲","海怪之殼"
20359,"uth","漆甲","漆護鎧甲"
20360,"uul","陰影鎧甲","暗影鎧甲"
20361,"uar","神聖盔甲","神聖戰甲"
20362,"utp","執政官鎧甲","統御者鎧甲"
20363,"uuc","防寒圓盾","斗盾"
20364,"uml","月精靈護盾","圓月盾"
20366,"uit","統治者大盾","君主盾"
20367,"uow","塔盾","禦塔盾"
20368,"uts","保護盾牌","庇護盾"
20369,"ulg","荊棘連指手套","荊棘手套"
20371,"umg","吸血鬼手套","護臂"
20372,"utg","十字軍鐵手套","聖教軍護手"
20373,"uhg","食人魔鐵手套","巨魔護手"
20374,"ulb","飛龍皮靴","龍皮靴"
20375,"uvb","聖甲蟲殼靴","聖甲蟲殼皮靴"
20376,"umb","骸骨靴","骸骨網靴"
20377,"utb","鏡化靴","幻鏡戰靴"
20378,"uhb","極速靴","勇士護脛"
20379,"ulc","蛛網腰帶","蛛網束帶"
20380,"uvc","吸血鬼燎牙腰帶","吸血鬼牙腰帶"
20382,"utc","洞穴巨魔腰帶","食人妖腰帶"
20385,"ush","洞穴巨魔巢穴骨盾","食人妖骨盾"
20387,"dr9","神聖羽毛頭帶","聖羽頭飾"
20388,"dr7","獅鷲獸頭帶","獅鷲獸頭飾"
20389,"dr8","獵人的偽裝","獵人面罩"
20390,"dr6","阿爾發頭盔","猛狼頭盔"
20391,"dra","圖騰面具狼盔","圖騰面具"
20393,"ba7","獅頭尖盔","獅牙頭盔"
20394,"ba8","狂怒面具刺盔","狂怒面具"
20395,"ba9","蠻族頭盔","凶蠻頭盔"
20396,"baa","殺手防護面甲","殺手護盔"
20397,"pa6","亞克南圓盾","阿卡拉圓盾"
20398,"pa7","亞克南輕圓盾","阿卡拉輕圓盾"
20399,"pa8","防護者盾牌","守護之盾"
20400,"pa9","飾金盾牌","金紋盾"
20401,"paa","皇家盾牌","皇家盾"
20402,"ne6","木乃伊印記","木乃伊首級"
20403,"ne7","物神印記","鬼娃首級"
20404,"ne8","司事印記","司事首級"
20405,"ne9","領唱者印記","領唱者首級"
20406,"nea","祭司印記","祭司首級"
20407,"dre","天空之靈","天翔靈獸帽"
20408,"drc","太陽之靈","日陽靈獸帽"
20409,"drd","大地之靈","地土靈獸帽"
20410,"drb","血腥之靈","血系靈獸帽"
20411,"drf","幽夢之靈","幽夢靈獸帽"
20415,"bae","征服者皇冠面甲","征服者盔冠"
20416,"baf","守護者皇冠面甲","守護者盔冠"
20419,"pae","撒卡蘭姆盾牌","撒卡蘭姆盾"
20420,"paf","旋風盾","渦旋盾"
20421,"neb","隨侍之骨","僕從顱骨"
20422,"nec","地獄爪牙之骨","地獄爪牙顱骨"
20423,"ned","監視者之骨","督軍顱骨"
20424,"nee","女妖之骨","魅魔顱骨"
20425,"nef","血王之骨","鮮血之王顱骨"
20433,"jew","寶石","珠寶"
20435,"cm1","小護身符","小型咒符"
20436,"cm2","大型護身符","大型咒符"
20437,"cm3","超大型護身符","特大咒符"
20679,"qll","硬毛","刺針"
20683,"hrn","角","尖角"
21288,"Butcher's Pupil","屠夫之瞳","屠夫的徒弟"
21291,"Guardian Naga","蛇神守護者","那伽守護者"
21295,"Boneslayer Blade","碎骨者之刃","斬骨者之斧"
21297,"Suicide Branch","自殺支系","自殘枝椏"
21298,"Cairn Shard","石塚碎片","凱林碎片"
21299,"Arm of King Leoric","李奧瑞克王的武器","李奧瑞克王的手骨"
21305,"Hand of Blessed Light","祝福之光之手","聖光之手"
21306,"Fleshrender","血肉裁決者","血肉撕裂者"
21308,"Moonfall","落月","月落"
21310,"Earthshaker","撼地者","震地者"
21312,"The Gavel of Pain","痛苦木槌","痛苦之槌"
21313,"Bloodletter","血書","放血者"
21315,"Hexfire","六角之火","妖火"
21320,"The Atlantien","亞特拉斯","亞特蘭提恩"
21321,"Crainte Vomir","克林鐵‧弗姆","恐懼之嘔"
21322,"Bing Sz Wang","兵之王","冰之王"
21323,"The Vile Husk","卑劣軀殼","兇邪軀殼"
21325,"Todesfaelle Flamme","特迪斯法雷‧芙法米","死落之火"
21328,"Heart Carver","刻心者","刨心者"
21331,"The Impaler","穿刺者","刺穿者"
21334,"Hone Sundan","宏‧森丹","骨寸斷"
21335,"Spire of Honor","榮耀的尖塔","榮耀尖塔"
21337,"Blackleach Blade","黑水之刃","黑蛭長刀"
21338,"Athena's Wrath","雅典娜的忿怒","雅典娜之怒"
21339,"Pierre Tombale Couant","皮爾‧通把‧考恩特","墓石長戟"
21340,"Husoldal Evo","胡索丹‧依弗","血肉吞食者"
21341,"Grim's Burning Dead","驚怖焰亡靈","懼焰亡靈"
21343,"Chromatic Ire","五彩的怒氣","炫彩之怒"
21348,"Endlessshail","無盡的冰雹","無盡冰雹"
21350,"Godstrike Arch","金擊圓弧","金擊之拱"
21351,"Langer Briser","蘭格‧布里瑟","蘭古布利薩"
21352,"Pus Spiter","毒液怪","吐膿毒弩"
21353,"Buriza-Do Kyanon","布理撒‧多‧凱南","暴雪砲弩"
21357,"Lavagout","熔岩角羊","熔岩之痛"
21358,"Venom Grip","劇毒之抓","劇毒之握"
21361,"Shaftstop","謝夫特斯坦布","箭止"
21365,"Peasent Crown","粗野之冠","農夫王冠"
21366,"Demon Machine","惡魔機器","惡魔機弩"
21368,"Cliffkiller","岩壁殺手","懸崖殺手"
21370,"Razorswitch","擺動剃刀","剃刀杖"
21374,"Gaya Wand","加耶之杖","加耶魔杖"
21375,"Ondal's Wisdom","安戴爾的智慧","溫達的智慧"
21379,"Deathbit","死亡碎片","死亡尖鑽"
21382,"Razoredge","刀鋒邊緣","剃刀銳斧"
21383,"Stonerattle","自響之石","響石"
21384,"Marrowgrinder","磨骨者","磨髓者"
21385,"Gore Ripper","血塊撕裂者","血腥撕裂者"
21387,"Demonlimb","惡魔爪牙","惡魔肢體"
21396,"Odium","厭惡","厭憎"
21397,"Blood Comet","血之彗星","血彗星"
21405,"Aladdin's Eviserator","古代人的內臟","阿拉丁的刈骨刀"
21409,"Deathcleaver","死亡之刀","死亡劈斧"
21412,"Leviathan","海王利維亞桑","利維坦"
21413,"The Wanderer's Blade","流浪者之刀","流浪者之刃"
21420,"Mang Song's Lesson","梅格之歌的教訓","曼宋的教誨"
21421,"Viperfork","蝮蛇叉","蛇魔叉"
21423,"El Espiritu","愛爾‧衣斯普利特","魂靈"
21424,"The Long Rod","長棒","極長之棍"
21425,"Demonhorn's Edge","惡魔號角的邊緣","惡魔角尖"
21426,"The Ensanguinator","血紅之人","染血者"
21427,"The Reaper's Toll","死神的喪鐘","死神喪鐘"
21428,"Spiritkeeper","靈魂看守者","魂靈守衛者"
21429,"Hellrack","地獄拷問","地獄刑具"
21430,"Alma Negra","阿爾瑪‧尼格拉","黑魂"
21432,"Rockhew","石塊切割","削石"
21433,"Sankenkur's Resurrection","桑坎克的復活","桑克庫爾的復活"
21436,"Widow maker","戮夫刃","絕命"
21438,"Ghostflame","鬼火焰","鬼火"
21440,"Bling Bling","布林布林","閃亮亮"
21441,"Nebucaneezer's Storm","拿布坎瑟的風暴","尼布甲尼撒的風暴"
21442,"Griffon's Eye","格利風之眼","獅鷲之眼"
21443,"Eaglewind","老鷹之風","鷹之風"
21445,"Thunderstroke","雷擊","雷霆之擊"
21447,"Demon's Arch","惡魔之王","惡魔之拱"
21448,"The Scalper","圓鑿","頭皮剝斧"
21450,"Djinnslayer","魔靈殺手","巨靈殺手"
21455,"Headhunter's Glory","獵頭人的榮耀","獵頭者的榮耀"
21456,"Mordoc's marauder","馬德克的盜賊","馬德克的掠奪者"
21458,"Amodeus's Manipulator","阿姆德思的操弄器","阿姆德思的操弄者"
21461,"Earthshifter","大地變形者","撼地者"
21462,"Nature's Peace","大自然的和平","自然祥和"
21469,"Horizon's Tornado","地平線的颱風","地平線的龍捲風"
21470,"Nord's Tenderizer","諾德的蝕肉藥","北地肉鎚"
21474,"Wraithfang","死靈之牙","怨靈之牙"
21476,"Cerebus","地獄之吻","地獄犬之咬"
21481,"Fuego Del Sol","夫得勾‧迪爾‧索","日火"
21482,"Stoneraven","石烏鴉","石鴉"
21483,"El Infierno","妖精地獄火","妖獄之火"
21484,"Moonrend","破碎之月","碎月"
21489,"Pagan's Athame","異教的啊沙梅","異教儀式刀"
21492,"Snaketongue","蛇之舌","蛇信"
21493,"Lifechoke","窒息生命","生命之扼"
21494,"Ethereal edge","永恆邊緣","無形之刃"
21495,"Palo Grande","派羅大公","派羅‧格蘭德"
21496,"Carnageleaver","背離屠殺者","屠殺遺留者"
21498,"Soulreaper","靈魂收割者","奪魂者"
21499,"Samual's Caretaker","山姆的管理員","山姆的照護者"
21500,"Hell's Whisper","地獄呢喃者","地獄呢喃"
21508,"Bloodraven's Charge","血鴉的襲擊","血鴉之擊"
21510,"Robin's Yolk","知更之蛋","知更之卵"
21511,"Glimmershred","微光碎片","微光裂片"
21519,"Rockstopper","岩石制動器","石禦"
21520,"Stealskull","偷取骷髏","盜竊顱盔"
21523,"Blackhorn's Face","黑角面具","黑荊角面具"
21526,"Ironpelt","擲鐵","鋼鐵獸皮"
21528,"Crow Caw","鴉鳴","鴉啼"
21529,"Duriel's Shell","都瑞爾的殼","都瑞爾之殼"
21530,"Skullder's Ire","詩寇蒂的憤怒","斯寇德的憤怒"
21534,"Corpsemourn","屍體的哀傷","屍慟"
21535,"Que-hegan's Wisdom","魁黑剛的智慧","教宗的智慧"
21536,"Moser's Blessed Circle","摩西祝福之環","摩瑟的祝福之圓"
21540,"Radimant's Sphere","羅達門特之球體","羅達門特的領域"
21541,"Gravepalm","墓穴的撫弄","墓穴手掌"
