21428,"靈魂看守者","魂靈守衛者"
21429,"地獄拷問","地獄刑具"
21430,"阿爾瑪‧尼格拉","黑魂"
21432,"石塊切割","削石"
21433,"桑坎克的復活","桑克庫爾的復活"
21436,"戮夫刃","絕命"
21438,"鬼火焰","鬼火"
21440,"布林布林","閃亮亮"
21441,"拿布坎瑟的風暴","尼布甲尼撒的風暴"
21442,"格利風之眼","獅鷲之眼"
21443,"老鷹之風","鷹之風"
21445,"雷擊","雷霆之擊"
21447,"惡魔之王","惡魔之拱"
21448,"圓鑿","頭皮剝斧"
21450,"魔靈殺手","巨靈殺手"
21455,"獵頭人的榮耀","獵頭者的榮耀"
21456,"馬德克的盜賊","馬德克的掠奪者"
21458,"阿姆德思的操弄器","阿姆德思的操弄者"
21461,"大地變形者","撼地者"
21462,"大自然的和平","自然祥和"
21469,"地平線的颱風","地平線的龍捲風"
21470,"諾德的蝕肉藥","北地肉鎚"
21474,"死靈之牙","怨靈之牙"
21476,"地獄之吻","地獄犬之咬"
21481,"夫得勾‧迪爾‧索","日火"
21482,"石烏鴉","石鴉"
21483,"妖精地獄火","妖獄之火"
21484,"破碎之月","碎月"
21489,"異教的啊沙梅","異教儀式刀"
21492,"蛇之舌","蛇信"
21493,"窒息生命","生命之扼"
21494,"永恆邊緣","無形之刃"
21495,"派羅大公","派羅‧格蘭德"
21496,"背離屠殺者","屠殺遺留者"
21498,"靈魂收割者","奪魂者"
21499,"山姆的管理員","山姆的照護者"
21500,"地獄呢喃者","地獄呢喃"
21508,"血鴉的襲擊","血鴉之擊"
21510,"知更之蛋","知更之卵"
21511,"微光碎片","微光裂片"
21519,"岩石制動器","石禦"
21520,"偷取骷髏","盜竊顱盔"
21523,"黑角面具","黑荊角面具"
21526,"擲鐵","鋼鐵獸皮"
21528,"鴉鳴","鴉啼"
21529,"都瑞爾的殼","都瑞爾之殼"
21530,"詩寇蒂的憤怒","斯寇德的憤怒"
21534,"屍體的哀傷","屍慟"
21535,"魁黑剛的智慧","教宗的智慧"
21536,"摩西祝福之環","摩瑟的祝福之圓"
21540,"羅達門特之球體","羅達門特的領域"
21541,"墓穴的撫弄","墓穴手掌"
21542,"食屍鬼外皮","食屍鬼之皮"
21543,"地獄之嘴","地獄之口"
21550,"雪之衝突","冰雪交織"
21553,"長槍警衛","長槍守衛"
21554,"護衛的掩護","侍從的掩護"
21556,"鐵柱","鋼鐵之柱"
21558,"高塔之視","高塔哨衛"
21559,"年紀之冠","歲月之冠"
21563,"鋼鐵鎧甲","鋼鐵甲殼"
21564,"艾席拉的精神迷幻","艾席拉的金屬框"
21566,"烏鴉之王","掠鴉之王"
21567,"白骨陰影","骸骨陰影"
21570,"火焰號叫","火嚎"
21576,"基德的運氣","基德的財運"
21577,"代理教皇","代牧者"
21578,"暴風之結","暴風之鞭"
21579,"海拉柏得的國度","海拉柏德的國度"
21581,"瓦瑞夫的權杖","瓦瑞夫的護盾"
21582,"尖刺根源","尖刺荊棘"
21583,"卓古拉之握","德古拉之握"
21584,"冰霜之風","霜風"
21585,"聖堂武士的力量","聖堂騎士之力"
21586,"艾斯屈塔的脾氣","艾斯屈塔的憤怒"
21591,"人魚的齒輪","人魚的鍊輪靴"
21593,"吸血聖王之圈","吸血鬼王之圈"
21594,"梅塔利絲的腰","梅塔萊特的束腰"
21595,"維爾登戈的心結","伐頓戈的強韌腰索"
21598,"巨骷髏","巨大顱骨"
21599,"愛斯特龍之鐵的保護區","愛斯特龍的鐵衛"
21600,"吉利安之火盆","吉莉安的火盆"
21604,"阿爾瑪的回憶","靈魂殘影"
21606,"神聖突擊","神聖職責"
21607,"布爾凱索斯","布爾凱索"
21615,"旭日東昇","旭日東升"
21617,"布爾凱索之戒","布爾凱索的婚戒"
21623,"奧瑪斯的長袍","奧瑪斯之袍"
21625,"鬥士的禍根","鬥士之禍"
21630,"摩西祝福之環","摩瑟的祝福之圓"
21631,"魁黑剛的智慧","教宗的智慧"
21634,"裝甲","護甲"
21636,"鷹號角","鷹角弓"
21637,"碎片貪婪者","吉默削斧"
21638,"戮夫刃","絕命"
21640,"娜吉解迷杖","娜吉的解謎杖"
21641,"永恆邊界","無形之刃"
21643,"祖父","高祖"
21644,"末日毀滅者","末日使者"
21645,"泰瑞爾的力量","泰瑞爾之力"
21651,"希梅斯特的掠奪","梅希斯密特之劫掠者"
21652,"地獄毀滅者","地獄殺戮者"
21653,"無休止的冰雹","無盡冰雹"
21654,"亞特拉斯","亞特蘭提恩"
21658,"凱恩碎片","凱林碎片"
21661,"塔格奧之外裝","塔格奧之容"
21663,"塔格奧之面具","塔格奧面具"
21665,"塔格奧之手","塔格奧之爪"
21666,"塔格奧之束帶","塔格奧之腹"
21669,"娜塔亞的記號","娜塔亞的印記"
21672,"格瑞斯華爾德的傳奇","格里斯瓦德的傳奇"
21673,"格瑞斯華爾德的救贖","格里斯瓦德的救贖"
21674,"格瑞斯華爾德的榮耀","格里斯瓦德的榮耀"
21675,"格瑞斯華爾德之心","格里斯瓦德之心"
21676,"格瑞斯華爾德的勇氣","格里斯瓦德的勇氣"
21677,"坦的皇者之袍","唐帝的皇袍"
21678,"坦的祖先","唐帝的祖先"
21679,"坦的規則","唐帝的法則"
21680,"坦的王權","唐帝的王座"
21681,"坦的戰鬥常規","唐帝的戰旗"
21686,"布爾凱索之長","布爾凱索看守者"
21687,"布爾凱索的孩子","布爾凱索的子嗣"
21688,"布爾凱索的神聖代價","布爾凱索的神聖職責"
21690,"布爾凱索的管理者","布爾凱索捍衛者"
21692,"夫羅卡德之牙","夫羅卡德的尖牙"
21695,"夫羅卡德之腱","夫羅卡德的肌腱"
21698,"艾爾多的欺瞞","艾爾多的欺暪"
21699,"艾爾多的鐵手套","艾爾多的護手"
21700,"艾爾多的成長","艾爾多的進擊"
21706,"馬維娜的施展","馬維娜的強弓"
21707,"沙撒璧的雄偉貢品","沙薩比的崇高禮讚"
21708,"沙撒璧的懺悔之鈷","沙薩比的救贖鈷劍"
21709,"沙撒璧的鬼魂釋放者","沙薩比的解靈框體"
21710,"沙撒璧的精神之鞘","沙薩比的精神護罩"
21711,"華寧的威嚴","桓因的威嚴"
21712,"華寧的正義","桓因的制裁"
21713,"華寧的光輝","桓因的光輝"
21714,"華寧的保護","桓因的庇佑"
21715,"華寧的飾帶","桓因的飾帶"
21717,"述說之珠","誦唸珠"
21718,"手掌的安置","按手禮"
21719,"儀式的走道","入門式"
21720,"黑暗信徒","隱門徒"
21721,"信條","守信條"
21722,"牛魔王之皮甲","牛王皮甲"
21723,"牛魔王之角","牛王之角"
21724,"牛魔王之皮","牛王之皮"
21725,"牛魔王之蹄","牛王之蹄"
21726,"亞拉崗的名作","亞拉崗的曠世之作"
21727,"亞拉崗太陽火焰","亞拉崗的太陽之火"
21728,"亞拉崗冰之凝視","亞拉崗的冰寒之視"
21729,"亞拉崗暴風雲","亞拉崗的暴風之雲"
21734,"惠斯坦的武裝","惠斯坦的守護"
21737,"雷山德的指標","萊坎德的準頭"
21738,"影之接觸","影之觸"
21741,"巴特克的猛擊","霸圖克的猛擊"
21743,"毀滅","滅絕"
21747,"狂號的面孔","狂號面孔"
21750,"加爾的長髮","加爾的鬃毛"
21752,"藥商的計算器","藥劑師的袋子"
21753,"偽經","離經叛道"
21755,"侏儒","魔胎"
21762,"眼球","核瞳"
21764,"異地","異鄉"
21766,"翼龍首","飛龍首"
21768,"%0 %1","%0%1"
21779,"庫拉斯特之盾","庫拉斯特盾"
21784,"指定職業","限定職業"
21815,"塔.拉夏的外袍","塔拉夏的外袍"
21816,"塔.拉夏的纖細衣服","塔拉夏的精織腰布"
21817,"塔.拉夏的判決","塔拉夏的判決"
21818,"塔.拉夏的守護","塔拉夏的守護"
21819,"塔.拉夏的判決","塔拉夏的警惕之眼"
21820,"塔.拉夏的赫拉迪克紋章","塔拉夏的赫拉迪姆之冠"
21821,"華寧的祝福","桓因的祝福"
21822,"天堂的信徒","天堂的同胞"
21823,"丹弓的教導","檀君的教導"
21824,"安戴爾的全靈","溫達的全靈"
21825,"泰比克的光榮","太白山的榮光"
21826,"黑摩蘇的堅決","解慕漱的堅決"
21827,"雷山德的側腹","萊坎德的側翼"
21828,"收縮戒指","束縛之戒"
21829,"金瑟的裂縫","金瑟的裂隙"
21830,"娜吉的古代遺跡","娜吉的上古遺物"
21831,"娜吉的輕鎧甲","娜吉的輕鎧"
21832,"娜吉的小環","娜吉的頭環"
21842,"不朽之王的融爐","不朽之王的熔爐"
21843,"不朽之王的瑣事","不朽之王的扈從"
21848,"科力克的守護者","保衛者科力克"
21849,"馬道克守護者","守護者馬道克"
21850,"塔力克防禦者","防禦者塔力克"
21863,"腐爛的附肢","腐潰觸手"
10902,"符文：破","符文：埃歐"
10903,"破","埃歐"
10910,"迪勒瑞姆","精神錯亂"
20506,"","'"
20507,"古代人的契約","先祖之契"
20512,"黑色","黑錘"
20513,"血腥","鮮血"
20514,"白骨","骸骨"
20515,"野薔薇","刺藤"
20516,"品牌","烙印"
20518,"破碎的誓言","破碎誓言"
20522,"沌頓","混沌"
20525,"白天","白晝"
20530,"失望","絕望"
20546,"火焰","閃爍火焰"
20548,"幸運","機運"
20558,"天堂的意識","天堂意志"
20562,"復仇","報復"
20565,"冰凍","寒冰"
20567,"純潔","純真"
20568,"眼光","靈光"
20573,"騎士的警戒","騎士守望"
20574,"知識","學識"
20575,"最後希望","最後遺願"
20576,"法律","律法"
20590,"早晨","清晨"
20594,"天然的王國","自然王國"
20599,"著魔","執念"
20601,"忍耐","耐心"
20602,"啪噠","圖紋"
20604,"思考之聲","理性之聲"
20615,"原理","原則"
20616,"戰鬥中的勇氣","勇戰之力"
20617,"謹重","謹慎"
20625,"押韻","聲韻"
20626,"裂縫","裂隙"
20628,"奇遇","機緣"
20629,"影子","暗影"
20632,"賽連之歌","賽蓮之歌"
20641,"刺傷","螫刺"
20648,"飢餓","飢渴"
20650,"雷電","雷霆"
20655,"真實","真理"
20656,"堅定意志","不屈意志"
20659,"毒牙","劇毒"
20662,"虛無之","虛無"
20667,"白色","蒼白"
3410,"設定控制","操作設定"
3763,"滑鼠按鈕 1","滑鼠按鍵 1"
3764,"滑鼠按鈕2","滑鼠按鍵 2"
3766,"滑鼠按鈕3","滑鼠按鍵 3"
3767,"滑鼠按鈕4","滑鼠按鍵 4"
3768,"滑鼠按鈕5","滑鼠按鍵 5"
3775,"Escape","ESC"
3778,"同意","確定"
3779,"Mode Change","模式改變"
3808,"Help","說明"
3809,"數字鍵盤0","數字鍵盤 0"
3810,"數字鍵盤1","數字鍵盤 1"
3811,"數字鍵盤2","數字鍵盤 2"
3812,"數字鍵盤3","數字鍵盤 3"
3813,"數字鍵盤4","數字鍵盤 4"
3814,"數字鍵盤5","數字鍵盤 5"
3815,"數字鍵盤6","數字鍵盤 6"
3816,"數字鍵盤7","數字鍵盤 7"
3817,"數字鍵盤8","數字鍵盤 8"
3818,"數字鍵盤9","數字鍵盤 9"
3819,"數字鍵盤*","數字鍵盤 *"
3820,"數字鍵盤+","數字鍵盤 +"
3822,"數字鍵盤-","數字鍵盤 -"
3823,"數字鍵盤.","數字鍵盤 ."
3824,"數字鍵盤/","數字鍵盤 /"
3870,"esc","ESC"
3875,"lft","左"
3876,"rgt","右"
3877,"Dwn","下"
3917,"數字鍵=","數字鍵盤 ="
3922,"按鍵/按鈕1","按鍵 / 按鈕1"
3923,"按鍵/按鈕2","按鍵 / 按鈕2"
3924,"人物畫面","角色畫面"
3931,"自動地圖對中","自動地圖置中"
3936,"技能1","技能 1"
3937,"技能2","技能 2"
3938,"技能3","技能 3"
3939,"技能4","技能 4"
3940,"技能5","技能 5"
3941,"技能6","技能 6"
3942,"技能7","技能 7"
3943,"技能8","技能 8"
3947,"使用腰帶1","使用腰帶 1"
3948,"使用腰帶2","使用腰帶 2"
3949,"使用腰帶3","使用腰帶 3"
3950,"使用腰帶4","使用腰帶 4"
3951,"使用腰帶5","使用腰帶 5"
3952,"使用腰帶6","使用腰帶 6"
3953,"使用腰帶7","使用腰帶 7"
3954,"使用腰帶8","使用腰帶 8"
3955,"使用腰帶9","使用腰帶 9"
3956,"使用腰帶10","使用腰帶 10"
3957,"使用腰帶11","使用腰帶 11"
3958,"使用腰帶12","使用腰帶 12"
3960,"說「跟著我」","說「跟我走」"
3962,"說「多謝」","說「謝謝」"
3965,"說「你去死吧」","說「死吧」"
3967,"切換跑步/行走","切換跑步 / 行走"
3971,"畫面抓圖","遊戲擷圖"
3973,"接受","確定"
3982,"顯示肖像","顯示頭像"
22717,"技能9","技能 9"
22718,"技能10","技能 10"
22719,"技能11","技能 11"
22720,"技能12","技能 12"
22721,"技能13","技能 13"
22722,"技能14","技能 14"
22723,"技能15","技能 15"
22724,"技能16","技能 16"
22725,"切換小型地圖","切換小地圖"
22727,"雇員畫面","傭兵畫面"
788,"秘密母牛關卡","秘密乳牛關"
789,"混沌庇難所","混沌魔殿"
790,"群魔堡壘","混沌界要塞"
792,"郊外大草原","外圍荒原"
794,"神罰之城","罪罰之城"
795,"憎恨的囚牢第三層","憎恨囚牢第三層"
796,"憎恨的囚牢第二層","憎恨囚牢第二層"
797,"憎恨的囚牢第一層","憎恨囚牢第一層"
798,"廢棄的聖物","廢棄的聖殿"
799,"殘破的寺院","荒廢的寺院"
801,"遺忘的聖物","遺忘的聖殿"
803,"殘破神殿","荒廢的神殿"
804,"剝皮地窖第三層","剝皮地牢第三層"
805,"剝皮地窖第二層","剝皮地牢第二層"
806,"剝皮地窖第一層","剝皮地牢第一層"
807,"沼澤地洞第三層","沼澤地穴第三層"
808,"沼澤地洞第二層","沼澤地穴第二層"
809,"沼澤地洞第一層","沼澤地穴第一層"
815,"庫拉斯特商場","庫拉斯特市集"
818,"龐大濕地","大沼澤"
820,"庫拉斯特海港","庫拉斯特港口"
821,"憎恨的囚牢","憎恨囚牢"
822,"剝皮地窖","剝皮地牢"
823,"沼澤地洞","沼澤地穴"
824,"神秘庇難所","秘法聖殿"
825,"塔.拉夏的房間","塔拉夏的密室"
826,"塔.拉夏的古墓","塔拉夏的古墓"
831,"利爪腹蛇神殿第二層","利爪蛇魔神殿第二層"
833,"石製古墓第二層","古老石墓第二層"
834,"利爪腹蛇神殿第一層","利爪蛇魔神殿第一層"
837,"石製古墓第一層","古老石墓第一層"
838,"皇宮監牢第三層","皇宮地窖第三層"
839,"皇宮監牢第二層","皇宮地窖第二層"
840,"皇宮監牢第一層","皇宮地窖第一層"
841,"女眷住處第二層","後宮第二層"
842,"女眷住處第一層","後宮第一層"
846,"術士的峽谷","賢者之谷"
848,"遺失的城市","失落古城"
850,"乾燥的高地","乾土高地"
852,"魯.高因","魯高因"
854,"利爪腹蛇神殿","利爪蛇魔神殿"
856,"石製古墓","古老石墓"
857,"皇宮監牢","皇宮地窖"
858,"女眷住處","後宮"
860,"前往秘密母牛關卡","前往秘密乳牛關"
861,"前往混沌庇難所","前往混沌魔殿"
863,"前往郊外大草原","前往外圍荒原"
865,"前往神罰之城","前往罪罰之城"
866,"前往群魔堡壘","前往混沌界要塞"
867,"前往憎恨的囚牢第三層","前往憎恨囚牢第三層"
868,"前往憎恨的囚牢第二層","前往憎恨囚牢第二層"
869,"前往憎恨的囚牢第一層","前往憎恨囚牢第一層"
870,"前往廢棄的聖物","前往廢棄的聖殿"
871,"前往殘破的寺院","前往荒廢的寺院"
873,"前往遺忘的聖物","前往遺忘的聖殿"
875,"前往殘破神殿","前往荒廢的神殿"
876,"前往剝皮地窖第一層","前往剝皮地牢第一層"
877,"前往剝皮地窖第二層","前往剝皮地牢第二層"
878,"前往剝皮地窖第三層","前往剝皮地牢第三層"
879,"前往沼澤地洞第三層","前往沼澤地穴第三層"
880,"前往沼澤地洞第二層","前往沼澤地穴第二層"
881,"前往沼澤地洞第一層","前往沼澤地穴第一層"
887,"前往庫拉斯特商場","前往庫拉斯特市集"
890,"前往龐大濕地","前往大沼澤"
892,"前往庫拉斯特海港","前往庫拉斯特港口"
893,"前往神秘庇難所","前往秘法聖殿"
894,"前往塔.拉夏的房間","前往塔拉夏的密室"
895,"前往塔.拉夏的古墓","前往塔拉夏的古墓"
900,"前往利爪腹蛇神殿第二層","前往利爪蛇魔神殿第二層"
902,"前往石製古墓第二層","前往古老石墓第二層"
903,"前往利爪腹蛇神殿第一層","前往利爪蛇魔神殿第一層"
906,"前往石製古墓第一層","前往古老石墓第一層"
907,"前往皇宮監牢第三層","前往皇宮地窖第三層"
908,"前往皇宮監牢第二層","前往皇宮地窖第二層"
910,"前往女眷住處第二層","前往後宮第二層"
911,"前往女眷住處第一層","前往後宮第一層"
915,"前往術士的峽谷","前往賢者之谷"
917,"前往遺失的城市","前往失落古城"
919,"前往乾燥的高地","前往乾土高地"
921,"前往魯.高因","前往魯高因"
5018,"崔斯特瑞姆","崔斯特姆"
5028,"軍營","兵營"
5030,"僧院大門","修道院大門"
5037,"大陵寢","大陵墓"
5043,"洞窟第二層","洞穴第二層  洞穴"
5047,"洞窟第一層","洞穴第一層"
5052,"石塊曠野","亂石曠野"
5055,"蘿格營地","俠盜營地"
5056,"前往崔斯特瑞姆","前往崔斯特姆"
5066,"前往軍營","前往兵營"
5068,"前往僧院大門","前往修道院大門"
5075,"前往大陵寢","前往大陵墓"
5078,"前往地洞第二層","前往地穴第二層"
5079,"前往洞穴第二層","前往地洞第二層"
5081,"前往洞窟第二層","前往洞穴第二層"
5082,"前往地洞第一層","前往地穴第一層"
5083,"前往洞窟第一層","前往地洞第一層"
5085,"前往洞窟第一層","前往洞穴第一層"
5090,"前往石塊曠野","前往亂石曠野"
5093,"前往蘿格營地","前往俠盜營地"
11155,"主母巢穴","魔母巢穴"
11157,"痛苦熔爐","苦痛熔爐"
21797,"修女的悲慟","痛惜往事"
21798,"沙漠的旅程","沙漠旅程"
21865,"艾巴當","亞巴頓"
21866,"冥河之洞","冥河地穴"
21867,"地獄魔窟","煉獄地穴"
21868,"前往艾巴當","前往亞巴頓"
21869,"前往冥河之洞","前往冥河地穴"
21870,"前往地獄魔窟","前往煉獄地穴"
22651,"冰河","冰凍之河"
22652,"冰河路徑","冰河小徑"
22653,"漂泊者洞穴","漂泊者洞窟"
22655,"遠古之路","先祖之路"
22657,"亞瑞特山脈顛峰","亞瑞特山巔"
22659,"悲痛之廳","怨慟之廳"
22660,"痛苦之廳","苦痛之廳"
22662,"瓦特之廳","沃特之廳"
22667,"毀減的王座","毀滅王座"
22673,"前往冰河","前往冰凍之河"
22674,"前往冰河路徑","前往冰河小徑"
22675,"前往漂泊者洞穴","前往漂泊者洞窟"
22677,"前往遠古之路","前往先祖之路"
22679,"前往亞瑞特山脈顛峰","前往亞瑞特山巔"
22681,"前往悲痛之廳","前往怨慟之廳"
22682,"前往痛苦之廳","前往苦痛之廳"
22684,"前往瓦特之廳","前往沃特之廳"
22689,"前往毀減的王座","前往毀滅王座"
1031,"吉爾薩","古爾薩"
1034,"迪爾卡","杜爾加"
1036,"衣利森","伊爾森"
1040,"喬安妮","賈拉尼"
3411,"阿里撒","艾莉薩"
3412,"安普利沙","安普利莎"
3414,"艾伯海亞","艾伯海雅"
3415,"埃利","艾莉"
3416,"派吉","佩吉"
3417,"巴森提","巴森媞"
3418,"布萊謝","布萊絲"
3421,"肯吉","昆德莉"
3423,"維沙利亞","維莎莉亞"
3426,"菲歐娜","費歐娜"
3427,"基溫尼","吉溫妮"
3428,"蓋爾","蓋兒"
3432,"迪亞娜","黛安"
3433,"依索迪","依索德"
3436,"衣東亞","伊東亞"
3437,"萊茵","雷伊妮"
3439,"馬哈拉","瑪哈拉"
3440,"萊沙","莉莎"
3446,"萊紗","萊莎"
3447,"莎倫","夏琳"
10835,"伐德哈卡","伐拉亞"
10844,"海波加","赫羅加"
10845,"海爾干特","海爾甘特"
10846,"海加力克","海格拉克"
10848,"波丹","波赫丹"
10849,"伍夫加","沃夫加"
10855,"席格龐特","希格門德"
10861,"高斯里夫","高斯拉夫"
10864,"加門得","加門德"
10865,"菲瓦夫","拉恩斯"
10866,"艾得格理斯","艾德格理斯"
10867,"奧蕾那","奧尼拉"
10869,"艾弗","崔尼爾斯"
10870,"沃斯坦","克拉爾"
10871,"沃夫","沃爾夫"
10872,"布溫","布爾溫"
10879,"猶瑟","烏瑟爾"
10885,"艾拉瑞克","艾勒瑞克"
10886,"愛瑟瑞得","愛瑟瑞德"
10892,"席古德","希格爾德"
1067,"海法斯特盔甲製作者","護甲鍛造師海法斯特"
1235,"遊戲中不行","Not in Game"
2286,"食屍鬼之","食屍鬼"
2349,"壓碎者","粉碎者"
2463,"聖甲蟲","惡魔甲蟲"
2850,"母牛之王","牛王"
2851,"雄偉的混沌大臣","混沌首相"
2852,"西希之王","迪塞斯勳爵"
2855,"污染的飼育者","汙染飼育者"
2856,"痛苦之人","折磨者"
2857,"死亡之翼","黑暗之翼"
2858,"龍手-馬弗","龍手馬弗"
2859,"空虛之指-維恩","虛空指維恩"
2860,"冰拳-托克","冰拳托克"
2861,"火花之拳-布瑞姆","電光拳布瑞姆"
2862,"火焰之指-吉列布","火焰指吉列布"
2863,"邪惡之手-伊斯梅爾","邪之手伊斯梅爾"
2864,"裂縫之翼-冰鷹","裂隙之翼冰鷹"
2865,"戰場處子-沙利娜","戰場女傑莎莉娜"
2867,"古巫醫-印都","巫醫印都古"
2868,"燃燒者-韋布","灼熱的斯札克"
2871,"冰冷鳥鴉","冰烏鴉"
2874,"格里斯瓦得","格里斯瓦德"
2876,"洞穴重生的邪惡之犬","獄淵惡犬"
2877,"爬行者-火釘","爬行者火釘"
2882,"爆開的甲蟲","爆蟲"
2883,"爬行的容貌","蔓延症狀"
2884,"鑽地的冰蟲","冰蟲鑽地者"
2887,"召喚者","召喚師"
2888,"古代無魂之卡","遠古無魂者卡厄"
2897,"蘿格","俠盜"
2898,"冥河娃娃","冥河鬼娃"
2900,"剝皮者","剝皮手"
2901,"小矮人","鬼娃"
2903,"不死冥河娃娃","不死冥河鬼娃"
2905,"不死剝皮者","不死剝皮手"
2906,"不死小矮人","不死鬼娃"
2908,"黑暗熟視者","黑暗魔寵"
2909,"鮮血潛鳥","鮮血俯衝者"
2912,"受放逐者","放逐者"
2913,"鮮血之王","鮮血鬼爵"
2914,"黑暗之王","黑暗鬼爵"
2915,"黑夜之王","暗夜鬼爵"
2916,"食屍鬼之王","食屍鬼爵"
2917,"釘拳魔","釘拳木魔"
2918,"打穀魔","笞擊木魔"
2919,"灌木魔","刺藤木魔"
2920,"刺木魔","荊棘木魔"
2921,"蜘蛛魔法師","法毒蜘蛛"
2923,"毒氣旋轉者","劇毒紡織者"
2924,"沙漠釣者","沙漠釣蛛"
2925,"奧拉克","巨大蜘蛛"
2926,"血翼","血翅蚊"
2927,"血鉤","血鉤蚊"
2928,"餵食者","餵血蚊"
2929,"吸食者","吸血蚊"
2930,"有翼惡夢","飛翼夢魘"
2932,"不死腐食者","不死食腐鳥"
2933,"腐食鳥","食腐鳥"
2934,"解答者","解繃者"
2937,"古代赫拉迪姆","赫拉迪姆古屍"
2938,"白骨聖甲蟲","骸骨甲蟲"
2939,"鋼鐵聖甲蟲","鋼鐵甲蟲"
2940,"聖甲蟲","惡魔甲蟲"
2942,"水肥戰士","蜣螂兵蟲"
2943,"地獄群蟲","地獄蟲群"
2946,"渴望者","刺螫蟲群"
2947,"地獄貓","地獄拉庫尼"
2948,"夜行老虎","暗夜拉庫尼"
2949,"劍齒貓","拉庫尼"
2950,"女獵人","女獵手"
2953,"洞穴跳躍者","洞穴躍行魔"
2954,"古墓爬蟲","古墓爬跳者"
2955,"沙地跳躍者","沙漠躍行魔"
2956,"古墓腹蛇","古墓蛇魔"
2957,"洞窟腹蛇","地穴蛇魔"
2958,"蠑螈蛇怪","火蜥蛇魔"
2959,"利爪腹蛇","利爪蛇魔"
2960,"法蛇法師","蛇魔法師"
2962,"巨大八目蟲","吸血巨蟲"
2964,"石蟲","鑽岩蛆蟲"
2965,"沙蟲","沙漠蛆蟲"
2967,"剃刀山脊怪","刃脊獸"
2968,"有刺野獸","荊棘獸"
2969,"長釘惡魔","釘刺魔"
2970,"硬毛老鼠","針刺鼠"
2971,"地獄一族","冥府羊頭人"
2972,"月亮一族","月族羊頭人"
2973,"黑夜一族","夜族羊頭人"
2974,"死亡一族","死族羊頭人"
2975,"血腥一族","血族羊頭人"
2977,"毀滅猴怪","毀滅猿怪"
2978,"叢林獵人","叢林獵手"
2979,"石地居民","石居猿"
2980,"沙丘野獸","沙丘猿獸"
2982,"黑色蘿格","黑色俠盜"
2984,"邪惡獵人","兇邪獵手"
2986,"黑暗身影","幽影"
2988,"妖魂","亡靈"
2991,"攻擊者","襲擊者"
2992,"異教徒","異信者"
2995,"沙地騎士","沙漠劫掠者"
2996,"巨大野獸","巨獸毛怪"
2997,"哀泣之獸","尖嘯毛怪"
2998,"雅提","雪怪"
2999,"壓碎者","碎拳毛怪"
3000,"禽獸","兇蠻毛怪"
3001,"煙霧偷襲者","雲襲血鷹"
3003,"黑色開膛手","黑色猛禽"
3005,"惡臭烏鴉","惡毒穢鴉"
3006,"瘟疫散佈者","瘟疫散布者"
3010,"僵屍","殭屍"
3012,"恐怖白骨","恐骨骷髏"
3013,"復活的怪物","返世亡靈"
3014,"燃燒死屍","烈焰骷髏"
3015,"白骨戰士","骸骨戰士"
3016,"詛咒怪","詛咒魔汙怪"
3017,"醜陋怪","醜惡魔汙怪"
3018,"殘廢怪","畸形魔汙怪"
3019,"污染怪","魔汙怪"
3020,"苦難怪","災劫魔汙怪"
3034,"解剖死屍怪","活屍木乃伊"
3035,"不朽死屍怪","長存木乃伊"
3036,"防腐屍怪","防腐木乃伊"
3037,"乾屍","乾屍木乃伊"
3038,"腐屍","腐屍木乃伊"
3039,"烏達爾獸","烏爾達巨怪"
3041,"血腹獸","血腹巨怪"
3042,"大笨獸","蠻力巨怪"
3043,"血蛆幼生","鮮血蛆蟲幼體"
3044,"巨型八目蟲幼生","吸血巨蟲幼體"
3045,"吞噬者幼生","吞噬者幼體"
3046,"石蟲幼生","鑽岩蛆蟲幼體"
3047,"沙蟲幼生","沙漠蛆蟲幼體"
3048,"血蛆之蛋","鮮血蛆蟲之卵"
3049,"巨型八目蟲之蛋","吸血巨蟲之卵"
3050,"吞噬者之蛋","吞噬者之卵"
3051,"石蟲之蛋","鑽岩蛆蟲之卵"
3052,"沙蟲之蛋","沙漠蛆蟲之卵"
3056,"飛空彎刀","鬼靈彎刀"
3057,"煙霧偷襲者之巢","雲襲血鷹之巢"
3058,"黑色開膛手之巢","黑色猛禽之巢"
3059,"邪惡烏鴉之巢","惡毒穢鴉之巢"
3060,"暗黑破壞神","迪亞布羅"
3065,"教堂司事","司事"
3066,"狂戰士","狂熱信徒"
3067,"忠誠信使","忠誠信徒"
3068,"撒卡蘭姆","撒卡蘭姆信徒"
3069,"黑色靈魂","黑魂鬼火"
3070,"燃燒的靈魂","燃魂鬼火"
3071,"沼澤的鬼魂","沼澤鬼魂"
3072,"薄暮之魂","薄暮鬼火"
3073,"傳送巫師","扭曲薩滿"
3074,"黑暗巫師","暗黑薩滿"
3075,"小惡魔巫師","魔妖薩滿"
3076,"利刃巫師","刨肉薩滿"
3077,"沈淪巫師","沉淪魔薩滿"
3078,"傳送魔","扭曲沉淪魔"
3079,"黑暗魔","暗黑沉淪魔"
3080,"小惡魔","魔妖沉淪魔"
3081,"利刃魔","刨肉沉淪魔"
3082,"沈淪魔","沉淪魔"
3083,"復生的弓箭手","返世亡靈弓箭手"
3084,"恐怖弓箭手","恐骨弓箭手"
3085,"燃燒的死亡弓箭手","烈焰骷髏弓箭手"
3086,"白骨弓箭手","骸骨弓箭手"
3087,"屍體弓箭手","屍骸弓箭手"
3092,"邪惡長槍手","兇邪長槍手"
